id,sample,metric,es,x,y,source,note,t1,t2
2381,1,r,1,pc,pc,unpublished,NA,5,5
2381,1,r,0.490836868226354,pc,pc,unpublished,NA,5,6
2381,1,r,-0.20390432672589784,pc,nc,unpublished,NA,5,5
2381,1,r,-0.15953697671958939,pc,nc,unpublished,NA,5,6
2381,1,r,0.11514698883251273,pc,cf,unpublished,NA,5,5
2381,1,r,0.07368996306097823,pc,cf,unpublished,NA,5,6
2381,1,r,-0.05511670388518665,pc,in,unpublished,NA,5,5
2381,1,r,-0.07074844889113115,pc,in,unpublished,NA,5,6
2381,1,r,-0.21502944069978797,pc,pd,unpublished,NA,5,5
2381,1,r,-0.22801422697778456,pc,pd,unpublished,NA,5,6
2381,1,r,-0.09909121141169239,pc,gd,unpublished,NA,5,5
2381,1,r,-0.1173263748161119,pc,gd,unpublished,NA,5,6
2381,1,r,-0.1274178648983392,pc,rd,unpublished,NA,5,5
2381,1,r,-0.09942386652766212,pc,rd,unpublished,NA,5,6
2381,1,r,0.06239565535557621,pc,pi,unpublished,NA,5,5
2381,1,r,0.0663390301200009,pc,pi,unpublished,NA,5,6
2381,1,r,-0.10405227735164355,pc,ca,unpublished,NA,5,5
2381,1,r,-0.10854748145712921,pc,ca,unpublished,NA,5,6
2381,1,r,-0.05841878707132902,pc,gi,unpublished,NA,5,5
2381,1,r,-0.07449483755823433,pc,gi,unpublished,NA,5,6
2381,1,r,0.4217425544202518,pc,oa,unpublished,NA,5,5
2381,1,r,0.33857621853192876,pc,oa,unpublished,NA,5,6
2381,1,r,0.0591892444589121,pc,o1,unpublished,recoded from opposition to support for policies,5,5
2381,1,r,0.07030457769376655,pc,o1,unpublished,recoded from opposition to support for policies,5,6
2381,1,r,-0.11880696752338397,pc,o2,unpublished,recoded from opposition to support for policies,5,5
2381,1,r,-0.09360899719535982,pc,o2,unpublished,recoded from opposition to support for policies,5,6
2381,1,r,1,pc,pc,unpublished,NA,6,6
2381,1,r,-0.21822145034300972,pc,nc,unpublished,NA,6,6
2381,1,r,0.11843466783556361,pc,cf,unpublished,NA,6,6
2381,1,r,-0.04283617569090457,pc,in,unpublished,NA,6,6
2381,1,r,-0.21816037463851698,pc,pd,unpublished,NA,6,6
2381,1,r,-0.08463163248364967,pc,gd,unpublished,NA,6,6
2381,1,r,-0.0814785647113916,pc,rd,unpublished,NA,6,6
2381,1,r,0.08171636880862397,pc,pi,unpublished,NA,6,6
2381,1,r,-0.07220010816640848,pc,ca,unpublished,NA,6,6
2381,1,r,-0.016118177784430338,pc,gi,unpublished,NA,6,6
2381,1,r,0.3649136527114573,pc,oa,unpublished,NA,6,6
2381,1,r,0.11494450664246962,pc,o1,unpublished,recoded from opposition to support for policies,6,6
2381,1,r,-0.043929429850810345,pc,o2,unpublished,recoded from opposition to support for policies,6,6
2381,1,r,-0.20390432672589784,nc,pc,unpublished,NA,5,5
2381,1,r,-0.16982584989904756,nc,pc,unpublished,NA,5,6
2381,1,r,1,nc,nc,unpublished,NA,5,5
2381,1,r,0.3621689728724674,nc,nc,unpublished,NA,5,6
2381,1,r,0.003194792033180791,nc,cf,unpublished,NA,5,5
2381,1,r,0.023457608579193923,nc,cf,unpublished,NA,5,6
2381,1,r,0.062228916358124955,nc,in,unpublished,NA,5,5
2381,1,r,0.11161618411845904,nc,in,unpublished,NA,5,6
2381,1,r,0.21292339808615665,nc,pd,unpublished,NA,5,5
